# Original Sudoku
X 2 X X   X 8 X 1   3 X X 5   X X E 6
X X X C   X X 5 X   9 X 1 X   X X X 2
9 X X 3   X X 7 X   8 D X 6   X B 5 F
X X X X   X X X 0   X X X X   8 4 3 X

B X 3 X   X 5 6 9   X X 4 A   X X X D
X X 5 X   B X X D   X 2 X 8   X X X X
X F X 4   X X 1 C   X 0 9 X   X 8 X X
D 7 8 X   X F X X   6 X X X   1 9 X X

X X D 5   X X X 6   X X F X   X E 7 0
X X 9 X   X C A X   5 B X X   F X D X
X X X X   F X D X   7 X X 4   X 5 X X
F X X X   2 E X X   0 6 D X   X 1 X 8

X 5 0 D   X X X X   4 X X X   X X X X
2 9 F X   4 X 0 8   X C X X   D X X E
4 X X X   X 2 X E   X 3 X X   7 X X X
3 6 X X   9 X X A   2 X 7 X   X X C X

# Original data
18 88 113 131 181 238 246 316 357 393 417 498 521 563 615 648 669 694 731 741 767 880 968 980 995 1035 1059 1109 1126 1145 1188 1210 1277 1317 1355 1405 1426 1464 1567 1588 1633 1660 1680 1705 1752 1805 1815 1832 1887 1926 1985 2009 2093 2101 2166 2223 2270 2279 2288 2345 2396 2410 2437 2459 2511 2541 2639 2669 2695 2740 2773 2831 2882 2910 2944 2966 2989 3025 3064 3093 3104 3133 3204 3330 3353 3375 3396 3424 3448 3484 3533 3582 3588 3666 3710 3731 3783 3843 3862 3913 3962 3970 4007 4076 
