# Original Sudoku
X 2 X X   7 E X X   X 5 6 C   X 4 X A
X X X X   4 D B X   X X F X   X C 5 X
X X X X   X X 2 X   X 1 A D   3 X 9 6
C E X X   X X X 9   X X X X   2 X X X

E X X X   X 4 3 2   X X C X   X 0 D X
X X 6 5   1 X X X   2 X X X   C B X X
X X X 8   E X 7 X   X 4 X X   X 6 X X
2 C X X   9 X X X   E X 0 X   7 5 F X

X 6 3 B   X 1 X 7   X X X 5   X X 0 F
X X 5 X   X X 9 X   X 3 X 7   E X X X
X X 0 C   X X X 6   X X X B   9 2 X X
X 7 2 X   X 8 X X   F 0 D X   X X X X

X X X 7   X X X X   B X X X   X X 2 3
A 0 X 1   B 9 D X   X 6 X X   X X X X
X 3 C X   X 7 X X   X E 1 4   X X X X
B X 4 X   8 C 1 X   X X 7 0   X X E X

# Original data
18 71 94 149 166 188 212 250 324 349 363 431 476 485 610 657 682 701 707 745 758 780 798 889 962 1038 1108 1123 1138 1196 1232 1261 1318 1333 1345 1410 1484 1499 1592 1614 1639 1684 1750 1794 1820 1865 1934 1952 1991 2005 2031 2070 2083 2107 2129 2167 2229 2272 2303 2341 2409 2451 2487 2510 2592 2620 2678 2747 2761 2770 2839 2850 2904 2959 2960 2989 3127 3211 3298 3315 3338 3344 3377 3403 3417 3437 3478 3603 3628 3671 3742 3745 3764 3851 3876 3912 3932 3937 4007 4016 4078 
